bad,loan,mortdue,value,reason,job,yoj,derog,delinq,clage,ninq,clno,debtinc,exp,di
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.93,0,31,34.181,,B
0,4300,68815,79852,HomeImp,Other,6,0,0,105.12,0,14,41.806,2,D
0,4300,72021,80027,HomeImp,Other,2,2,0,263.97,0,5,36.432,1,C
0,4400,53969,63869,DebtCon,ProfEx,7,0,3,162.39,0,30,23.581,2,A
0,4400,,60250,,,,,,,,,44,1,M
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86,0,17,39.158,3,C
0,4500,66127,79087,HomeImp,Other,4,1,0,81.35,0,15,40.705,2,C
0,4500,,77182,,,,,,,,,25.227,1,B
1,4500,39000,66000,HomeImp,Other,1,0,0,170.37,1,19,44,1,M
0,4500,71082,79247,HomeImp,Other,4,0,0,118.76,0,14,41.421,2,D
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.653,1,A
1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,44,2,M
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,44,2,M
1,4500,66517,87000,DebtCon,ProfEx,10,0,4,125.8,0,34,44,3,M
0,4500,45500,50000,HomeImp,Other,6,0,0,86.17,0,18,44,2,M
1,4500,118000,146870,HomeImp,ProfEx,4.5,2,0,203.87,1,20,44,2,M
1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,44,2,M
0,4700,67913,97205,,Mgr,2,0,0,142.82,0,24,35.227,1,C
0,4700,71855,88566,HomeImp,Other,2,2,0,283.96,0,5,36.475,1,C
0,4700,53918,59511,DebtCon,,6,,0,54.14,,15,34.417,2,B
1,4700,49100,58238,HomeImp,ProfEx,0.1,0,0,61.8,2,17,44,1,M
0,4700,88026,115506,HomeImp,ProfEx,6,0,0,182.25,0,27,29.209,2,B
1,4700,26900,45000,HomeImp,ProfEx,9,1,2,90.47,1,16,44,3,M
0,4800,67317,97191,,Mgr,3,0,0,137.32,0,23,34.275,,B
0,4800,56067,63102,DebtCon,ProfEx,9,0,3,160.15,1,30,21.584,3,A
0,4800,80482,88342,HomeImp,ProfEx,7,0,0,275.03,0,11,43.718,2,E
0,4900,58688,63348,DebtCon,ProfEx,9,0,3,179.16,2,31,22.544,3,A
0,4900,65873,90408,,Mgr,2,0,0,141.86,0,23,37.77,1,C
1,4900,25597,23031,HomeImp,Other,5,0,0,101.75,0,8,33.243,2,B
0,4900,67794,84630,HomeImp,Other,4,0,0,112.57,0,15,41.674,2,D
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,44,3,M
0,4900,,28437.5,HomeImp,,,,,,,,44,1,M
0,4900,170986,245300,DebtCon,Sales,,0,0,131.93,0,22,44,1,M
1,4900,65576,65774,HomeImp,Other,6,1,2,61.64,1,14,40.591,2,C
0,4900,57461,68494,DebtCon,ProfEx,8,0,4,183.64,0,30,22.795,3,A
0,4900,,69706,,,,,,,,,33.706,1,B
0,5000,,34846,HomeImp,,,,,,,,33.355,1,B
0,5000,47479,61690,DebtCon,,5,,0,65.03,,16,36.699,2,C
0,5000,66839,87168,HomeImp,Other,4,0,0,122.6,0,15,40.617,2,C
0,5000,12457,53448,HomeImp,Self,,0,0,207.14,0,12,44.108,1,E
0,5000,90059,113714,HomeImp,ProfEx,7,0,0,193.64,0,28,25.897,2,B
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,44,3,M
1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.77,2,8,44,1,M
1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.87,0,16,44,2,M
1,5000,31000,47350,HomeImp,ProfEx,12,,,,,,44,3,M
1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,44,,M
1,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,44,3,M
1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,44,3,M
1,5000,,9100,HomeImp,Other,1,0,0,54.73,2,8,44,1,M
1,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,44,2,M
1,5000,,71277,HomeImp,Other,10,0,0,72.43,1,12,44,3,M
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,44,3,M
1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,44,2,M
1,5000,,52000,HomeImp,Other,,0,1,285.33,0,6,44,1,M
1,5000,22700,34225,HomeImp,Other,4,0,0,74.63,3,9,44,2,M
1,5000,6000,38575,HomeImp,Self,7,0,1,335.03,3,42,44,2,M
1,5000,,74500,HomeImp,Other,19,,,,,,44,3,M
1,5000,,94119,HomeImp,Other,19,,,,,,44,3,M
0,5000,73126,87500,DebtCon,Other,1,0,0,125.97,2,10,44,1,M
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.37,1,24,44,3,M
0,5000,26037,35000,HomeImp,ProfEx,12,0,0,182.63,0,13,44,3,M
0,5000,39000,50340,HomeImp,Office,10,,,179.83,,19,44,3,M
0,5000,,26550,DebtCon,Other,1.7,0,0,276.97,1,14,44,1,M
0,5000,70470,77908,DebtCon,,5,,,,,,44,2,M
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,44,,M
0,5000,74225,89640,DebtCon,ProfEx,0.3,,,,,,44,1,M
0,5000,,65400,HomeImp,Office,1.5,0,0,51.77,0,4,44,1,M
1,5000,,37500,HomeImp,Other,,0,3,107.13,10,5,44,1,M
0,5000,78565,98500,DebtCon,ProfEx,24,0,0,51.77,3,14,44,3,M
0,5000,59900,80800,DebtCon,ProfEx,15,0,0,219.13,1,18,44,3,M
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,44,3,M
1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,44,3,M
1,5000,85165,107940,HomeImp,Mgr,6,5,3,122.77,5,28,44,2,M
1,5000,68000,75616,DebtCon,ProfEx,0.1,0,0,131.87,0,30,44,1,M
1,5000,71571,85100,DebtCon,ProfEx,1.4,0,1,82.13,0,13,44,1,M
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,44,1,M
1,5000,40000,32480,HomeImp,Other,8,3,2,163.37,1,16,44,3,M
1,5000,81748,,DebtCon,ProfEx,14,1,2,144.07,2,17,44,3,M
0,5000,44674,59375,HomeImp,Office,10,,,178.69,,19,26.448,3,B
1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,44,2,M
0,5000,80153,97275,DebtCon,Other,1,0,0,120.68,2,10,37.513,1,C
0,5000,68739,93435,,Mgr,3,0,0,148.72,0,23,36.669,,C
0,5000,51209,55320,DebtCon,,5,,1,69.11,,15,35.025,2,C
1,5000,46696,85202,HomeImp,Other,2,1,2,148.34,0,14,46.49,1,E
0,5000,,46281,HomeImp,Other,2,0,0,257.65,0,26,40.953,1,C
0,5000,66435,82819,HomeImp,Other,2,0,0,125.13,0,14,42.184,1,D
0,5100,179725,251962,DebtCon,Sales,,0,0,127.5,0,22,40.308,1,C
0,5100,85583,115341,HomeImp,ProfEx,7,0,0,177.96,1,28,26.258,2,B
0,5100,72891,80691,HomeImp,Other,1,1,0,273.88,0,6,39.852,1,C
1,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,44,3,M
0,5100,,26715,DebtCon,Other,1,0,0,258.79,0,14,26.722,1,B
0,5100,87258,121382,HomeImp,ProfEx,6,0,0,181.66,0,28,25.445,2,B
0,5100,,28291,DebtCon,Other,2,0,0,277.94,1,14,23.645,1,A
1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,44,3,M
0,5100,93000,116875,HomeImp,Other,10,,,417.63,2,50,44,3,M
1,5100,15500,34000,DebtCon,Other,0,1,2,86.23,2,13,44,1,M
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.86,0,36,25.651,2,B
0,5100,66834,87361,HomeImp,Other,0,2,0,290.03,0,6,38.767,1,C
0,5100,73882,96031,DebtCon,Other,0,0,0,125.79,1,10,34.446,1,B
0,5100,74071,97064,DebtCon,Other,0,0,0,121.08,2,9,36.402,1,C
0,5100,62702,79784,HomeImp,Other,2,0,0,108.07,0,15,43.29,1,E
0,5200,,36425,DebtCon,Other,2,0,0,266.81,1,14,23.797,1,A
0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,44,3,M
0,5200,43039,53521,HomeImp,Office,11,,,184.3,,19,24.415,3,B
0,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,44,1,M
1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,44,1,M
0,5200,91250,110000,HomeImp,Office,24,0,0,123.77,1,12,44,3,M
0,5200,16324,45187,HomeImp,Self,,0,0,221.12,0,11,42.712,1,D
1,5200,40564,39527,HomeImp,Other,0,0,0,157.77,1,13,72.67,1,E
0,5300,73698,84427,DebtCon,,4,,,,,,19.131,2,A
0,5300,66987,65111,HomeImp,Sales,4,1,0,175.33,1,22,40.443,2,C
1,5300,26908,36078,HomeImp,Other,,0,0,302.36,0,8,39.197,1,C
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.044,1,A
0,5300,44993,50673,HomeImp,Office,7,,,184.74,,18,27.906,2,B
1,5300,51000,64000,HomeImp,Mgr,10,1,0,98.33,0,12,44,3,M
0,5300,75958,91703,DebtCon,Other,0,0,0,124.18,1,10,34.599,1,B
0,5300,97132,117343,HomeImp,Office,22,0,0,109.93,1,11,35.839,3,C
0,5300,60826,80826,HomeImp,Mgr,10,,1,212.89,0,25,38.591,3,C
0,5300,83552,96809,DebtCon,ProfEx,0,,,,,,28.424,1,B
0,5300,47449,63895,HomeImp,Office,19,0,0,208.16,0,20,19.762,3,A
0,5300,50934,62957,HomeImp,Office,21,0,0,197.24,0,20,19.351,3,A
0,5400,53429,64505,DebtCon,,5,,0,69.54,,16,36.48,2,C
0,5400,,65474,HomeImp,Office,1,0,0,40.71,0,4,37.849,1,C
0,5400,47844,52040,HomeImp,Office,8,,,189.03,,18,24.701,3,B
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,44,2,M
1,5400,59720,63450,HomeImp,ProfEx,5,0,1,199.9,1,20,44,2,M
0,5400,86922,119846,HomeImp,ProfEx,5,0,0,185.08,1,28,26.355,2,B
0,5400,68625,82304,DebtCon,Sales,2,0,0,136.63,0,30,32.05,1,B
0,5400,65814,85848,HomeImp,Other,4,0,0,122.94,0,15,44.092,2,E
0,5400,,75254,,,,,,,,,23.164,1,A
1,5400,78300,88000,HomeImp,ProfEx,8,0,0,102.5,3,19,44,3,M
0,5400,48152,55760,DebtCon,,6,,0,78.45,,16,35.764,2,C
0,5500,70481,82446,HomeImp,Other,8,0,1,116.59,0,24,37.613,3,C
0,5500,,35402,HomeImp,,,,,,,,35.272,1,C
0,5500,87765,101053,DebtCon,ProfEx,22,0,0,55.56,2,13,31.376,3,B
0,5500,52897,65054,HomeImp,Office,20,0,0,189.3,0,19,20.654,3,A
1,5500,24700,35675,DebtCon,Other,1,0,3,153.93,3,27,44,1,M
1,5500,,43132,HomeImp,Other,,,,,,,44,1,M
0,5500,43486,81600,DebtCon,,4,0,0,216.13,4,30,44,2,M
1,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,44,2,M
1,5500,,13770,HomeImp,Mgr,5,0,1,167.37,1,8,44,2,M
0,5500,93051,115374,HomeImp,ProfEx,6,0,0,187.02,1,27,27.647,2,B
0,5500,87438,116679,HomeImp,ProfEx,6,0,0,186.42,1,27,28.418,2,B
0,5500,78059,78179,DebtCon,,5,,,,,,20.679,2,A
0,5500,72147,69918,HomeImp,Sales,4,2,0,158.53,0,23,43.404,2,E
1,5500,40584,46645,HomeImp,Other,4,0,1,136.32,0,13,34.495,2,B
1,5500,,12972,HomeImp,Other,1,0,1,82.29,0,2,36.987,1,C
1,5500,37368,48502,HomeImp,Mgr,9,0,2,49,0,10,33.126,3,B
0,5500,,66251,HomeImp,Office,1,0,0,43.72,0,3,41.452,1,D
0,5500,71644,72696,HomeImp,Sales,4,2,0,150.87,0,22,40.443,2,C
1,5500,85845,122205,DebtCon,ProfEx,5,0,0,172.21,1,26,32.677,2,B
0,5600,53793,66379,HomeImp,Office,22,0,0,206.1,0,19,18.37,3,A
0,5600,69435,83489,DebtCon,ProfEx,14,0,0,200.42,1,17,22.841,3,A
0,5600,29648,39907,HomeImp,ProfEx,11,0,0,180.56,0,13,21.555,3,A
0,5600,76407,77485,HomeImp,Other,9,0,0,91.68,0,24,37.773,3,C
1,5600,5000,66700,HomeImp,Other,31,1,1,204.07,0,11,44,3,M
1,5600,55160,86800,HomeImp,Other,3,1,1,148.13,1,14,44,,M
0,5600,41439,53893,HomeImp,Office,8,,,181.32,,19,24.651,3,B
0,5600,15275,47954,HomeImp,Self,,0,0,204.34,0,12,42.398,1,D
0,5700,100934,111496,HomeImp,Office,23,0,0,117.5,0,12,38.751,3,C
0,5700,,74685,,,,,,,,,24.275,1,B
0,5700,49514,58249,HomeImp,Office,21,0,0,212.54,0,21,21.258,3,A
0,5700,76948,85753,HomeImp,Other,7,0,0,128.48,0,25,37.86,2,C
0,5700,28127,36524,HomeImp,ProfEx,10,0,0,181.28,0,13,24.34,3,B
0,5700,,68591,HomeImp,Office,0,0,0,69.65,0,4,41.185,1,D
0,5700,26927,35461,DebtCon,Other,0,1,0,21.8,10,6,29.44,1,B
0,5700,49806,82242,DebtCon,,3,0,0,210.35,3,30,31.243,,B
1,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,44,1,M
1,5700,58400,75000,HomeImp,ProfEx,4,0,0,177.5,2,26,44,2,M
1,5700,80437,109647,HomeImp,ProfEx,9.5,0,0,104.4,0,14,44,3,M
1,5700,77213,92661,DebtCon,Sales,0,0,0,97.13,1,16,41.778,1,D
0,5700,62319,82923,HomeImp,Other,4,0,0,117.67,0,15,42.465,2,D
0,5700,71556,79538,HomeImp,Other,2,0,0,92.64,0,15,41.21,1,D
0,5700,,39052,HomeImp,Other,3,0,0,272.22,0,25,39.896,,C
1,5700,74172,79846,DebtCon,ProfEx,0,0,0,157.01,0,28,47.415,1,E
0,5700,28116,33450,DebtCon,Other,0,1,0,15.4,9,7,30.017,1,B
0,5700,,64910,,,,,,,,,33.85,1,B
0,5700,,69172,HomeImp,Office,1,0,0,48.85,0,3,38.774,1,C
0,5800,,36385,HomeImp,Other,2,0,0,266.55,1,25,43.31,1,E
0,5800,,41119,HomeImp,Other,2,0,0,261.41,0,26,42.192,1,D
0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.49,1,23,38.941,3,C
0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.97,1,23,39.959,3,C
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.29,1,13,30.188,,B
0,5800,172595,250155,DebtCon,Sales,,0,0,126.4,0,21,43.208,1,E
0,5800,,34704,HomeImp,,,,,,,,34.174,1,B
0,5800,,73804,HomeImp,Office,1,0,0,71.77,0,4,41.287,1,D
0,5800,46595,58191,HomeImp,Other,5,0,0,80.13,0,17,24.14,2,B
1,5900,,28000,DebtCon,Self,1,2,1,36.77,1,8,44,1,M
0,5900,70973,77989,HomeImp,Other,7,0,0,120.38,0,24,41.443,2,D
1,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,44,1,M
0,5900,,51189,HomeImp,,1,0,0,,0,0,12.749,1,A
0,5900,82912,91175,DebtCon,ProfEx,2,,,,,,27.595,1,B
1,5900,25972,41856,DebtCon,Other,2,0,2,157.96,3,27,40.628,1,C
0,5900,74187,78976,HomeImp,Other,9,0,1,118.44,0,24,40.11,3,C
0,5900,,66903,,,,,,,,,32.783,1,B
1,5900,106650,,DebtCon,Mgr,1,0,6,250.57,4,23,44,1,M
0,6000,,69492,,,,,,,,,32.977,1,B
0,6000,95232,115977,HomeImp,Office,22,0,0,149.02,1,12,37.954,3,C
1,6000,47625,85925,HomeImp,Office,0.1,2,1,154.13,4,26,44,1,M
1,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,44,2,M
1,6000,65000,94355,,Other,26,1,3,69.3,1,34,44,3,M
1,6000,,,HomeImp,Office,13,,2,122.77,,23,44,3,M
1,6000,33600,,HomeImp,Other,2,0,0,140.93,1,20,44,1,M
1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,44,3,M
1,6000,32446,54904,HomeImp,Other,2,0,0,51.73,1,9,44,1,M
1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,44,3,M
1,6000,22859,32200,DebtCon,Other,4,0,0,83.33,3,20,44,2,M
1,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,44,1,M
0,6000,72951,80000,HomeImp,Other,22.8,0,0,343.9,1,47,44,3,M
0,6000,43000,57460,HomeImp,Other,1.6,1,,101.5,,13,44,1,M
0,6000,53500,64790,DebtCon,Other,0.1,0,2,105.4,3,18,44,1,M
0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.57,0,32,44,1,M
0,6000,51000,86125,HomeImp,ProfEx,6,0,0,222.17,2,24,44,2,M
0,6000,53227,68700,HomeImp,Mgr,3,0,2,122.73,0,23,44,,M
0,6000,,43300,HomeImp,Other,,,,100.93,,9,44,1,M
0,6000,14000,61493,HomeImp,Office,23,0,0,321.63,1,13,44,3,M
1,6000,40000,54600,HomeImp,ProfEx,4,0,4,101.4,0,19,44,2,M
1,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,44,2,M
1,6000,179397,200000,DebtCon,ProfEx,5,6,0,90.3,6,29,44,2,M
1,6000,,95500,HomeImp,Mgr,6,1,2,129.9,1,22,44,2,M
0,6000,79046,103048,HomeImp,Other,0,0,0,181.7,0,32,37.29,1,C
0,6000,,53190,HomeImp,,0,0,0,,0,0,15.174,1,A
1,6000,,43683,HomeImp,Other,,,,,,,21.935,1,A
0,6000,129731,154113,HomeImp,ProfEx,12,0,0,213.53,0,19,44,3,M
0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,44,2,M
0,6100,,47400,,,,,,,,,44,1,M
0,6100,91704,114799,HomeImp,Office,22,0,0,129.25,1,12,36.747,3,C
0,6100,47604,54966,HomeImp,Other,5,0,0,70.7,0,18,24.767,2,B
0,6100,,35250,HomeImp,Other,,,,303,,12,44,1,M
1,6100,62751,95617,HomeImp,Other,1,0,0,138.65,1,13,31.757,1,B
0,6100,48300,53388,HomeImp,Office,9,,,178.49,,19,26.72,3,B
0,6100,68743,65321,HomeImp,Sales,3,1,0,153.07,0,22,40.151,,C
0,6100,79636,87276,HomeImp,Other,20,0,0,350.44,0,47,28.848,3,B
0,6100,,46830,HomeImp,,0,0,1,,0,0,13.306,1,A
0,6100,78753,95433,DebtCon,ProfEx,0,,,,,,28.925,1,B
0,6100,77265,97944,DebtCon,ProfEx,0,,,,,,28.876,1,B
0,6200,75657,84368,DebtCon,Sales,4,0,0,122.24,0,30,32.553,2,B
0,6200,171582,245730,DebtCon,Sales,,0,0,135.11,0,22,39.784,1,C
0,6200,,33909,HomeImp,,,,,,,,34.517,1,B
0,6200,46601,59486,HomeImp,Other,5,0,0,84.63,0,18,25.35,2,B
0,6200,60354,87596,HomeImp,ProfEx,5,0,0,210.17,2,23,34.055,2,B
0,6200,45356,82054,DebtCon,,2,0,0,201.33,4,29,29.662,1,B
0,6200,,41657,HomeImp,Other,,,,293.96,,11,30.198,1,B
